name,shortname,ISSN,open,publisher,scraper
PLoS ONE,PLoS ONE,1932-6203,TRUE,PLoS,get_plos_pub_history
Ecology Letters,Ecol Letters,1461-0248,TRUE,Wiley,get_wiley_pub_history
Ecology,Ecology,0012-9658,TRUE,ESA,get_esa_pub_history
Ecosphere,Ecosphere,2150-8925,TRUE,ESA,get_ecosph_pub_history
Ecological Applications,Ecol Applications,1051-0761,TRUE,ESA,get_esa_pub_history
Ecological Monographs,Ecol Monographs,0012-9615,TRUE,ESA,get_esa_pub_history
The Condor,The Condor,1938-5129,TRUE,BioOne,get_condor_pub_history
The American Naturalist,Am Naturalist,1537-5323,FALSE,JSTOR,get_amnat_pub_history
PeerJ,PeerJ,2167-8359,TRUE,PeerJ,get_peerj_pub_history
Proceedings of the Royal Society B: Biological Sciences,Proc B,1471-2954,TRUE,RoyalSoc,get_royal_pub_history
Biology Letters,Biol Letters,1744-957X,TRUE,RoyalSoc,get_royal_pub_history
Journal of Ecology,J Ecology,1365-2745,TRUE,Wiley,get_wiley_pub_history
Methods in Ecology and Evolution,Methods in Ecol and Evo,2041-210X,TRUE,Wiley,get_wiley_pub_history
Ecosystems,Ecosystems,1435-0629,FALSE,Springer,get_springer_history